starttime	seconds	ctime	dtime	ttime	wait
Thu Sep 14 18:15:50 2023	1694704550	0	122	122	120
Thu Sep 14 18:15:51 2023	1694704551	0	122	122	122
Thu Sep 14 18:15:47 2023	1694704547	1	121	122	121
Thu Sep 14 18:15:54 2023	1694704554	0	122	122	121
Thu Sep 14 18:15:51 2023	1694704551	0	123	123	123
Thu Sep 14 18:15:56 2023	1694704556	0	123	123	122
Thu Sep 14 18:15:50 2023	1694704550	1	123	124	119
Thu Sep 14 18:15:54 2023	1694704554	0	124	124	123
Thu Sep 14 18:15:53 2023	1694704553	1	123	124	123
Thu Sep 14 18:15:52 2023	1694704552	0	124	124	124
Thu Sep 14 18:15:48 2023	1694704548	1	125	125	123
Thu Sep 14 18:15:52 2023	1694704552	0	126	126	109
Thu Sep 14 18:15:52 2023	1694704552	0	127	127	127
Thu Sep 14 18:15:54 2023	1694704554	1	126	127	126
Thu Sep 14 18:15:50 2023	1694704550	0	127	127	127
Thu Sep 14 18:15:54 2023	1694704554	0	127	128	122
Thu Sep 14 18:15:55 2023	1694704555	4	126	130	126
Thu Sep 14 18:15:44 2023	1694704544	1	130	130	130
Thu Sep 14 18:15:51 2023	1694704551	0	130	130	130
Thu Sep 14 18:15:53 2023	1694704553	1	130	131	125
Thu Sep 14 18:15:55 2023	1694704555	0	131	131	130
Thu Sep 14 18:15:50 2023	1694704550	0	132	132	132
Thu Sep 14 18:15:51 2023	1694704551	1	133	134	133
Thu Sep 14 18:15:54 2023	1694704554	0	135	135	135
Thu Sep 14 18:15:51 2023	1694704551	1	134	135	131
Thu Sep 14 18:15:51 2023	1694704551	0	136	136	136
Thu Sep 14 18:15:49 2023	1694704549	0	138	138	138
Thu Sep 14 18:15:50 2023	1694704550	0	138	138	138
Thu Sep 14 18:15:54 2023	1694704554	0	144	144	143
Thu Sep 14 18:15:51 2023	1694704551	1	145	146	145
Thu Sep 14 18:15:51 2023	1694704551	3	144	147	143
Thu Sep 14 18:15:54 2023	1694704554	1	152	152	152
Thu Sep 14 18:15:56 2023	1694704556	2	170	172	170
Thu Sep 14 18:15:54 2023	1694704554	3	202	204	201
